Product URL,Product name,brand,Mrp,Sales price,Discount percentage,Number of reviews,Star rating
https://www.amazon.com/Under-Armour-Running-Pitch-White/dp/B08FXC862C?psc=1,Under Armour Men's Road Running Shoe,Under Armour,0.0,46.07,0,594,4.5
https://www.amazon.com/PUMA-Unisexs-Flyer-Running-White/dp/B097C5YMWC?psc=1,PUMA Unisex's Closed Running Shoe,PUMA,0.0,63.17,0,68,4.4
https://www.amazon.com/adidas-Summer-Ready-Sneaker-Glory/dp/B07SBX9RSZ?psc=1,adidas Women's Sensebounce+ Summer.rdy Running Shoe,Adidas,120.0,80.46,33,63,4.7
https://www.amazon.com/Nike-React-Running-Shoe-Ct1265-100/dp/B08BJFTHBL?psc=1,Nike Men's Race Running Shoe,Nike,0.0,265.0,0,126,4.4
https://www.amazon.com/adidas-Ultraboost-Grey-Sonic-Solar/dp/B09F9CKR4Y?psc=1,adidas mens Ultraboost 5.0 Dna,Adidas,0.0,233.45,0,23,4.7
https://www.amazon.com/ASICS-GT-2000-Running-Marigold-Orange/dp/B08PKF8MBZ?psc=1,ASICS Men's GT-2000 9 G-TX Running Shoes,ASICS,130.0,109.95,15,83,4.5
https://www.amazon.com/NIKE-Black-Synthetic-Running-Shoes/dp/B079Q4BVQ7?psc=1,Nike Men's Running Shoes,Nike,0.0,385.0,0,132,4.6
https://www.amazon.com/Nike-Mens-Running-Shoes-Numeric_10/dp/B098PBRLN1?psc=1,Nike Men's Road Running Shoes (Numeric_10),Nike,0.0,67.0,0,2,3.1
https://www.amazon.com/Under-Armour-Sonic-Running-Gravity/dp/B07Q2442SG?psc=1,Under Armour Men's HOVR Sonic 3 Running Shoe,Under Armour,0.0,109.95,0,2439,4.6
https://www.amazon.com/PUMA-Unisex-Incinerate-Running-Black/dp/B097CB5J1H?psc=1,PUMA Men's Incinerate Running Shoe,PUMA,0.0,59.0,0,349,4.5
https://www.amazon.com/ASICS-1011A011-Gel-Ziruss-Running-Indigo/dp/B07DNFRQS9?psc=1,ASICS Men's Gel-Ziruss 2 Running Shoes,ASICS,0.0,86.94,0,51,4.4
https://www.amazon.com/PUMA-19345302-Track-White-puma-Black-lava/dp/B08KL4F6WF?psc=1,PUMA Men's Evospeed Long Jump 6 Track and Field Shoe,PUMA,0.0,94.95,0,0,0.0
https://www.amazon.com/Nike-MensAir-Running-Sneakers-Numeric_10/dp/B09KNXFPK1?psc=1,Nike Men's Air Max SC Running Sneakers CW4555 006,Nike,0.0,130.07,0,18,3.9
https://www.amazon.com/Nike-React-Sertu-Mens-At5301-004/dp/B083QY32CH?psc=1,Nike Men's Race Running Shoe,Nike,0.0,145.0,0,90,4.5
https://www.amazon.com/adidas-Yeezy-Runner-GW3354-Ochre/dp/B09XY4F4LG?psc=1,didas Mens Yeezy Foam Runner GW3354,Adidas,0.0,320.0,0,1,5.0
https://www.amazon.com/Nike-Black-Black-Sport-Red-White-DH1083/dp/B09JKRWXCD?psc=1,Nike Men's Air Max 97 Black/Black-Sport Red-White (DH1083 001),Nike,0.0,231.24,0,4,5.0
https://www.amazon.com/Reebok-Kinetica-Concept-Sneaker-Radiant/dp/B08L8D63L2?psc=1,"Reebok Mens Zig Kinetica Concept Type2 Sneaker, Adult, Night Black/True Grey 7/Radiant Red",Reebok,0.0,89.9,0,5,3.9
https://www.amazon.com/ASICS-GelSuperion-Running-Black-Onyx-Safety-Yellow/dp/B077H1MXDX?psc=1,ASICS Gel-Superion Men's Running Shoe,ASICS,0.0,69.95,0,54,4.4
https://www.amazon.com/PUMA-Unisexs-Better-Xterra-Running/dp/B08MQRH3XY?psc=1,PUMA Unisex's Better Foam Xterra WTR Running Shoe,PUMA,0.0,73.59,0,5,4.5
https://www.amazon.com/ASICS-Gel1-Shoe-Running-Grey-Black-Orange/dp/B075Y8QH91?psc=1,ASICS Mens Gel-1 Running Shoe,ASICS,0.0,70.7,0,359,4.5
https://www.amazon.com/Nike-Running-Shoes-Cargo-Kahki/dp/B00GOF5BFE?psc=1,Nike Mens Air Max 2017 849559 302 - Size 10,Nike,209.99,144.97,31,10,4.3
https://www.amazon.com/Nike-Mens-CT1689-Neon-2020/dp/B08N6W2BDB?psc=1,Nike Air Max 95 Denham Mens Dd9519 001 - Size,Nike,0.0,484.0,0,4,5.0
https://www.amazon.com/Nike-Mens-DO5960-Persian-Violet/dp/B0B2CGQVX3?psc=1,Nike Air Max 95 Se Mens Style : Do5960,Nike,0.0,235.0,0,0,0.0
https://www.amazon.com/Nike-Stroke-Running-Smoke-Orange/dp/B08Q9WPRVD?psc=1,Nike Men's Stroke Running Shoe,Nike,116.02,92.5,20,27,4.2
https://www.amazon.com/Nike-Pegasus-DA8697-001-Running-Platinum/dp/B096JNHXNV?psc=1,Nike mens Running Shoes,Nike,130.0,114.95,12,9,4.8
https://www.amazon.com/Nike-Pegasus-Running-Casual-Bq9646-004/dp/B07ZJP4BKW?psc=1,Nike Men's Air Zoom Pegasus 37 Running Shoes Black/Medium Olive-Olive Aura 10 M US,Nike,0.0,199.0,0,16,4.2
https://www.amazon.com/ASICS-T835N-FuzeX-Adapt-Running/dp/B0728BV35C?psc=1,ASICS Men's Fuzex Rush Adapt Ankle-High Running Shoe,ASICS,0.0,77.5,0,67,4.3
https://www.amazon.com/PUMA-Toori-Running-Violet-Spectrum/dp/B0098ICAU8?psc=1,PUMA Men's Toori Run Y Running Shoe,PUMA,0.0,64.99,0,43,4.4
https://www.amazon.com/Puma-Space-Runner-EU-43/dp/B081NS93NY?psc=1,PUMA Men's Competition Running Shoes,PUMA,0.0,47.88,0,208,4.2
https://www.amazon.com/adidas-Pureboost-Running-Metallic-Silver/dp/B08N5JHK66?psc=1,"adidas Men's Pureboost 21 Trail Running Shoe, Blue Oxide/Night Metallic/Halo Silver, 10",Adidas,130.0,100.45,23,2,5.0
https://www.amazon.com/Nike-Roshe-FLEECE-CARGO-KHAKI-BLACK-WHITE/dp/B00BCSDM7C?psc=1,Nike Men's Roshe NM TP Athletic/Fashion Shoes,Nike,0.0,43.99,0,10,4.3
